DIGITAL_ELISA_PROTOCOL
         unit_name    unit_value
0                g  1.000000e+00
1               mg  1.000000e-03
2               μg  1.000000e-06
3               ng  1.000000e-09
4               pg  1.000000e-12
5               fg  1.000000e-15
6             g/mL  1.000000e+00
7            mg/mL  1.000000e-03
8            μg/mL  1.000000e-06
9            ng/mL  1.000000e-09
10           pg/mL  1.000000e-12
11           fg/mL  1.000000e-15
12               M  1.000000e+00
13              mM  1.000000e-03
14              μM  1.000000e-06
15              nM  1.000000e-09
16              pM  1.000000e-12
17              fM  1.000000e-15
18  μg/10 mg beads  1.000000e-06
19               L  1.000000e+00
20              mL  1.000000e-03
21              μL  1.000000e-06
22              nL  1.000000e-09
23              pL  1.000000e-12
24              fL  1.000000e-15
25             NaN  6.020000e+23
         unit_name    unit_value
0                g  1.000000e+00
1               mg  1.000000e-03
2               μg  1.000000e-06
3               ng  1.000000e-09
4               pg  1.000000e-12
5               fg  1.000000e-15
6             g/mL  1.000000e+00
7            mg/mL  1.000000e-03
8            μg/mL  1.000000e-06
9            ng/mL  1.000000e-09
10           pg/mL  1.000000e-12
11           fg/mL  1.000000e-15
12               M  1.000000e+00
13              mM  1.000000e-03
14              μM  1.000000e-06
15              nM  1.000000e-09
16              pM  1.000000e-12
17              fM  1.000000e-15
18  μg/10 mg beads  1.000000e-06
19               L  1.000000e+00
20              mL  1.000000e-03
21              μL  1.000000e-06
22              nL  1.000000e-09
23              pL  1.000000e-12
24              fL  1.000000e-15
25             NaN  6.020000e+23
         unit_name    unit_value
0                g  1.000000e+00
1               mg  1.000000e-03
2               μg  1.000000e-06
3               ng  1.000000e-09
4               pg  1.000000e-12
5               fg  1.000000e-15
6             g/mL  1.000000e+00
7            mg/mL  1.000000e-03
8            μg/mL  1.000000e-06
9            ng/mL  1.000000e-09
10           pg/mL  1.000000e-12
11           fg/mL  1.000000e-15
12               M  1.000000e+00
13              mM  1.000000e-03
14              μM  1.000000e-06
15              nM  1.000000e-09
16              pM  1.000000e-12
17              fM  1.000000e-15
18  μg/10 mg beads  1.000000e-06
19               L  1.000000e+00
20              mL  1.000000e-03
21              μL  1.000000e-06
22              nL  1.000000e-09
23              pL  1.000000e-12
24              fL  1.000000e-15
25             NaN  6.020000e+23
         unit_name    unit_value
0                g  1.000000e+00
1               mg  1.000000e-03
2               μg  1.000000e-06
3               ng  1.000000e-09
4               pg  1.000000e-12
5               fg  1.000000e-15
6             g/mL  1.000000e+00
7            mg/mL  1.000000e-03
8            μg/mL  1.000000e-06
9            ng/mL  1.000000e-09
10           pg/mL  1.000000e-12
11           fg/mL  1.000000e-15
12               M  1.000000e+00
13              mM  1.000000e-03
14              μM  1.000000e-06
15              nM  1.000000e-09
16              pM  1.000000e-12
17              fM  1.000000e-15
18  μg/10 mg beads  1.000000e-06
19               L  1.000000e+00
20              mL  1.000000e-03
21              μL  1.000000e-06
22              nL  1.000000e-09
23              pL  1.000000e-12
24              fL  1.000000e-15
25             NaN  6.020000e+23
         unit_name    unit_value
0                g  1.000000e+00
1               mg  1.000000e-03
2               μg  1.000000e-06
3               ng  1.000000e-09
4               pg  1.000000e-12
5               fg  1.000000e-15
6             g/mL  1.000000e+00
7            mg/mL  1.000000e-03
8            μg/mL  1.000000e-06
9            ng/mL  1.000000e-09
10           pg/mL  1.000000e-12
11           fg/mL  1.000000e-15
12               M  1.000000e+00
13              mM  1.000000e-03
14              μM  1.000000e-06
15              nM  1.000000e-09
16              pM  1.000000e-12
17              fM  1.000000e-15
18  μg/10 mg beads  1.000000e-06
19               L  1.000000e+00
20              mL  1.000000e-03
21              μL  1.000000e-06
22              nL  1.000000e-09
23              pL  1.000000e-12
24              fL  1.000000e-15
25             NaN  6.020000e+23
         unit_name    unit_value
0                g  1.000000e+00
1               mg  1.000000e-03
2               μg  1.000000e-06
3               ng  1.000000e-09
4               pg  1.000000e-12
5               fg  1.000000e-15
6             g/mL  1.000000e+00
7            mg/mL  1.000000e-03
8            μg/mL  1.000000e-06
9            ng/mL  1.000000e-09
10           pg/mL  1.000000e-12
11           fg/mL  1.000000e-15
12               M  1.000000e+00
13              mM  1.000000e-03
14              μM  1.000000e-06
15              nM  1.000000e-09
16              pM  1.000000e-12
17              fM  1.000000e-15
18  μg/10 mg beads  1.000000e-06
19               L  1.000000e+00
20              mL  1.000000e-03
21              μL  1.000000e-06
22              nL  1.000000e-09
23              pL  1.000000e-12
24              fL  1.000000e-15
25             NaN  6.020000e+23
26             sec  1.000000e+00
         unit_name    unit_value
0                g  1.000000e+00
1               mg  1.000000e-03
2               μg  1.000000e-06
3               ng  1.000000e-09
4               pg  1.000000e-12
5               fg  1.000000e-15
6             g/mL  1.000000e+00
7            mg/mL  1.000000e-03
8            μg/mL  1.000000e-06
9            ng/mL  1.000000e-09
10           pg/mL  1.000000e-12
11           fg/mL  1.000000e-15
12               M  1.000000e+00
13              mM  1.000000e-03
14              μM  1.000000e-06
15              nM  1.000000e-09
16              pM  1.000000e-12
17              fM  1.000000e-15
18  μg/10 mg beads  1.000000e-06
19               L  1.000000e+00
20              mL  1.000000e-03
21              μL  1.000000e-06
22              nL  1.000000e-09
23              pL  1.000000e-12
24              fL  1.000000e-15
25             NaN  6.020000e+23
26             sec  1.000000e+00
27             min  6.000000e+01
